,hr,rr,ecg,gsr,temperature
1602587566.0772,63.0,979.0,545.0,424.9999999999392,34.31
1602587566.0792,63.0,979.0,528.0,424.9999999999392,34.31
1602587566.0812,63.0,979.0,523.0,424.9999999999392,34.31
1602587566.0832,63.0,979.0,533.0,424.9999999999392,34.31
1602587566.0852,63.0,979.0,545.0,424.9999999999392,34.31
1602587566.0872,63.0,979.0,545.0,424.9999999999392,34.31
1602587566.0892,63.0,979.0,543.0,424.9999999999392,34.31
1602587566.0912,63.0,979.0,543.0,424.9999999999392,34.31
1602587566.0932,63.0,979.0,548.0,424.9999999999392,34.31
1602587566.0952,63.0,979.0,550.0,424.9999999999392,34.31
1602587566.0973,63.0,979.0,548.0,424.9999999999392,34.31
1602587566.0992,63.0,979.0,545.0,424.9999999999392,34.31
1602587566.1012,63.0,979.0,548.0,424.9999999999392,34.31
1602587566.1032,63.0,979.0,543.0,424.9999999999392,34.31
1602587566.1053,63.0,979.0,526.0,424.9999999999392,34.31
1602587566.1072,63.0,979.0,514.0,424.9999999999392,34.31
1602587566.1092,63.0,979.0,511.0,424.9999999999392,34.31
1602587566.1112,63.0,979.0,502.0,424.9999999999392,34.31
1602587566.1132,63.0,979.0,485.0,424.9999999999392,34.31
1602587566.1152,63.0,979.0,463.0,424.9999999999392,34.31
1602587566.1172,63.0,979.0,443.0,424.9999999999392,34.31
1602587566.1192,63.0,979.0,438.0,424.9999999999392,34.31
1602587566.1211,63.0,979.0,426.0,424.9999999999392,34.31
1602587566.1232,63.0,979.0,397.0,424.9999999999392,34.31
1602587566.1252,63.0,979.0,371.0,424.9999999999392,34.31
1602587566.1272,63.0,979.0,356.0,424.9999999999392,34.31
1602587566.1292,63.0,979.0,354.0,424.9999999999392,34.31
1602587566.1312,63.0,979.0,344.0,424.9999999999392,34.31
1602587566.1332,63.0,979.0,332.0,424.9999999999392,34.31
1602587566.1352,63.0,979.0,329.0,424.9999999999392,34.31
1602587566.1372,63.0,979.0,341.0,424.9999999999392,34.31
1602587566.1392,63.0,979.0,346.0,424.9999999999392,34.31
1602587566.1412,63.0,979.0,332.0,424.9999999999392,34.31
1602587566.1432,63.0,979.0,327.0,424.9999999999392,34.31
1602587566.1452,63.0,979.0,332.0,424.9999999999392,34.31
1602587566.1472,63.0,979.0,329.0,424.9999999999392,34.31
1602587566.1492,63.0,979.0,324.0,424.9999999999392,34.31
1602587566.1512,63.0,979.0,332.0,424.9999999999392,34.31
1602587566.1532,63.0,979.0,337.0,424.9999999999392,34.31
1602587566.1553,63.0,979.0,332.0,424.9999999999392,34.31
